code,created_t,product_name,quantity,product_quantity,serving_size,serving_quantity,brands,categories,labels,emb_codes,ingredients_text,ingredients_tags,nutriscore_grade,nutriscore_score,categories_tags,labels_tags,countries_tags,no_nutrition_data,added-sugars_100g,alcohol_100g,alpha-linolenic-acid_100g,biotin_100g,caffeine_100g,calcium_100g,carbohydrates-total_100g,carbohydrates_100g,cholesterol_100g,choline_100g,chromium_100g,copper_100g,docosahexaenoic-acid_100g,eicosapentaenoic-acid_100g,energy-kcal_100g,energy-kj_100g,energy_100g,fat_100g,fiber_100g,fructose_100g,fruits-vegetables-legumes-estimate-from-ingredients_100g,fruits-vegetables-legumes_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fruits-vegetables-nuts_100g,glucose_100g,glycemic-index_100g,iodine_100g,iron_100g,magnesium_100g,maltose_100g,manganese_100g,monounsaturated-fat_100g,nova-group_100g,nutrition-score-fr_100g,omega-3-fat_100g,omega-6-fat_100g,pantothenic-acid_100g,phosphorus_100g,polyols_100g,polyunsaturated-fat_100g,potassium_100g,proteins_100g,salt_100g,saturated-fat_100g,selenium_100g,sodium_100g,starch_100g,sucrose_100g,sugars_100g,taurine_100g,trans-fat_100g,vitamin-a_100g,vitamin-b12_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-c_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-pp_100g,zinc_100g
00000384,1710273257,Mélange pour boisson saveur de lime,720 g,720,,,naak,mélange pour boisson,en:no-gluten,,,,unknown,,fr:melange-pour-boisson,en:no-gluten,en:canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000385,1690839405,Nutritional yeast,2 pound,907.18474,16g,16,,"Health, Vegan, Organic","Organic, USDA Organic, en:no-gmos",,yeast,en:yeast,unknown,,"en:health,en:organic,en:vegan","en:organic,en:no-gmos,en:usda-organic",en:united-states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000387,1707068555,Multi collagen gummies,,,2.0g,2,Carlyle,en:dietary-supplements,No gluten,,,,unknown,,en:dietary-supplements,en:no-gluten,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000388,1678905866,Mini Bifteki,750 g,750,100.0g,100,Bo frost,"Meats and their products, Frozen foods, Meats, Frozen meats, Meat preparations","Nutriscore, Nutriscore Grade D",,,,unknown,,"en:meats-and-their-products,en:frozen-foods,en:meat-preparations,en:meats,en:frozen-meats","en:nutriscore,en:nutriscore-grade-d",en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000390,1718209084,Sweet and tangy pork with spicy sweet potatoes,,,1 package (283 g),283,Crave,,en:no-colorings,,,,unknown,,,en:no-colorings,en:canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000391,1681768171,Super greens powder,,,5.0g,5,Cherie sweet heart,,"Organic, USDA Organic",,,,unknown,,,"en:organic,en:usda-organic",en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000393,1715833894,Protein meal bar,,,44.0g,44,Barrow’s,,,,"Cut Corn, Wheat, Red Milo, White Millet, Black Oil Sunflower Seeds, Red Millet","en:corn,en:cereal,en:wheat,en:red-milo,en:white-millet,en:black-oil-sunflower-seeds,en:red-millet",unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000394,1725963158,Creatine Monohydrate,,,,,naturebell,,,,Creatine Monohydrate (Micronized),"en:creatine-monohydrate,en:creatine,en:micronized",unknown,,,,en:united-states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000395,1726768041,Weekend recovery,,,7.800000190734863g,7.80000019073486,Water boy,,,,,,unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000396,1733313985,Nutrail Protein Granola,,,0g,0,Nutrail,Granola,,,,,unknown,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:mueslis",,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000397,1712673615,Whole Trilogy Seeds,,,18g,18,Badia,,,,"Flaxseed, Chia Seeds, Hemp Seeds","en:flax-seed,en:seed,en:flax,en:chia-seed,en:chia,en:hemp-seed",unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000398,1557290825,,,,,,,,,,"saccharose, sirop de glucose, acidifiant : acide citrique, citrate de sodium, maltodextrine, arôme naturel d'orange avec autres arômes naturels, sels de calcium de l'acide orthophosphorique, carbonate de magnésium, chlorure de sodium, exhausteur de goût : chlorure de potassium, antioxydant : acide L-ascorbique, colorant : caroténoïdes, vitamine B1.","en:sucrose,en:sugar,en:glucose-syrup,en:glucose,en:acid,en:sodium-citrate,en:minerals,en:sodium,en:maltodextrins,en:natural-orange-flavouring,en:flavouring,en:natural-flavouring,en:calcium-salts-from-orthophosphoric-acid,en:calcium,en:e504,en:sodium-chloride,en:flavour-enhancer,en:antioxidant,en:colour,en:thiamin,en:e330,en:e508,en:e300,en:e160",,,,,en:french-polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000399,1691605710,assorted linzer,5 oz,141.747615625,,,glutenetto,,,,,,unknown,,,,en:united-states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000400,1709412844,Bombes pour chocolat chaud,400ml,400,35.0g,35,"Aldi, Des vas",,Made in Belgium,,,,unknown,,,en:made-in-belgium,"en:germany,en:ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000401,1632578990,Tikka Masala,700ml,700,450.0g,450,"Grappa, Patak's, Tequila","Beverages and beverages preparations, Beverages, Condiments, Sauces, Indian-style sauces, Tikka masala sauce, Groceries",,,,,unknown,,"en:beverages-and-beverages-preparations,en:beverages,en:condiments,en:sauces,en:indian-style-sauces,en:tikka-masala-sauce,en:groceries",,"en:germany,en:ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000402,1676305068,Sauce tikka masala,200ml,200,100.0g,100,"Grappa, Likör, Patak’s","Beverages and beverages preparations, Beverages",,,,,unknown,,"en:beverages-and-beverages-preparations,en:beverages",,"en:germany,en:ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000403,1723806128,Mint Chocolate Chip Beachbar,500ml,500,1.0g,1,"Beachbody, Grappa, Tequila","Beverages and beverages preparations, Beverages",,,"DIRECTION DIRECTIONS FOR USE: To ensure accurate dosing, use the supplied measure tool to measure 400-900 mg shilajit resin. Dissolve in warm water and drink on an empty stomach 30 minutes before a meal. It can also be swallowed or dissolved under the tongue. STORAGE: Store in a coold and dry place. WARNINGS: KEEP OUT OF REACH OF CHILDREN. Dietary supplements should not be used as a substitute for a healthy and varied diet and a healthy lifestyle. Do not exceed the stated recommended daily intake. Statements regarding this dietary supplement have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition. LLT","ar:direction-directions-for-use,ar:use-the-supplied-measure-tool-to-measure-400-900-mg-shilajit-resin,ar:dissolve-in-warm-water-and-drink-on-an-empty-stomach-30-minutes-before-a-meal,ar:it-can-also-be-swallowed-or-dissolved-under-the-tongue,ar:storage,ar:keep-out-of-reach-of-children,ar:dietary-supplements-should-not-be-used-as-a-substitute-for-a-healthy-and-varied-diet-and-a-healthy-lifestyle,ar:do-not-exceed-the-stated-recommended-daily-intake,ar:statements-regarding-this-dietary-supplement-have-not-been-evaluated-by-the-fda-and-are-not-intended-to-diagnose,ar:treat,ar:cure,ar:or-prevent-any-disease-or-health-condition,ar:llt,ar:to-ensure-accurate-dosing,ar:store-in-a-coold-and-dry-place,ar:warnings",unknown,,"en:beverages-and-beverages-preparations,en:beverages",,"en:germany,en:ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000404,1736856213,Grapa di Sangiovese,700ml,700,,,"Grappa, Tequila","Getränke und Getränkezubereitungen, Getränke",,,,,unknown,,"en:beverages-and-beverages-preparations,en:beverages",,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000405,1598814886,,200ml,200,350g,350,"Cémoi, Grappa, Likör","Beverages and beverages preparations, Beverages, Meals",Made in France,,,,c,5,"en:beverages-and-beverages-preparations,en:beverages,en:meals",en:made-in-france,"en:france,en:germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000406,1601915669,Francais,700ml,700,,,Grappa,"Boissons et préparations de boissons, Boissons",,,,,e,18,"en:beverages-and-beverages-preparations,en:beverages",,"en:france,en:germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000407,1736856524,Garppa di Chardonnay (nur mehr 1/2 voll),700ml,700,,,Grappa,"Getränke und Getränkezubereitungen, Getränke",,,,,unknown,,"en:beverages-and-beverages-preparations,en:beverages",,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000408,1703949475,Organic white mulberry tea,700ml,700,2.0g,2,Grappa,"Beverages and beverages preparations, Beverages",,,,,unknown,,"en:beverages-and-beverages-preparations,en:beverages",,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000409,1641724895,Ingwer Wurzel,200ml,200,,,"Biotiva, Grappa","Bevande e preparati per bevande, Cibi e bevande a base vegetale, Bevande, Cibi a base vegetale, Condimenti, Spezie, Zenzero, en:groceries","Biologico, Biologico UE, EG-Öko-Verordnung, 100% vegetale, DE-ÖKO-005",,Zenzero,"en:ginger,en:condiment,en:spice",not-applicable,,"en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:condiments,en:spices,en:ginger,en:groceries","en:organic,en:eu-organic,de:eg-öko-verordnung,en:100-vegetable,en:de-oko-005","en:germany,en:italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000412,1720970698,Supercalm - Nello - Nello,,,4.0g,4,,,,,,,unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000413,1608228614,Jamon gran reserva,,,,,,,,,,,unknown,,,,en:spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000414,1716828266,Creatina,,,5.0g,5,Birdman,,,,,,unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000416,1728391056,200G CHOC NOIR AMANDE BIO CRF,,,30.0g,30,,,,,,,unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000417,1718478569,Owmy,886 g,886,3609g,3609,Owng,Supplement,,,"Whey Protein Concentrate, Whey Protein Isolate, Natural Chocolate, Cocoa Powder, Xanthan Gum, Sea Salt, Sucralose. Contains: Milk Manufactured for Nature's Peak 16171 S Bringhurst Blvd. Suite 600 Bluffdale, UT 84065 801-341-2845 NaturesPeak.net NATURE'S - PEAK-","en:whey-protein,en:protein,en:animal-protein,en:milk-proteins,en:whey-protein-isolate,en:natural-chocolate,en:cocoa-powder,en:plant,en:cocoa,en:e415,en:sea-salt,en:salt,en:e955,en:for-nature-s-peak-16171-s-bringhurst-blvd,en:suite-600-bluffdale,en:ut-84065-801-341-2845-naturespeak-net-nature-s,en:peak",a,0,en:supplement,,en:united-states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000419,1723547577,Bio Fiber - Biogens,,,7.0g,7,,,,,,,unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000420,1666175364,Tramezzino,,,,,,,,,,,unknown,,,,en:italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000421,1722895917,Whey,,,33.0g,33,It’s just,,,,,,unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000422,1647531744,Ferradura frutos sanos,,,,,Ferrer,,,,,,unknown,,,,en:spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000424,1579767671,Ashwagandha Extra Strength,180g,180,20,,futurebiotics,"Breakfasts, Spreads, Sweet spreads, Pistachio spreads",No gluten,,"Ashwagandha herb extract, BioPerine Black pepper seed extract, Microcrystalline cellulose, Modified cellulose capsule, Magnesium stearate, Silicon dioxide","en:ashwagandha-herb-extract,en:bioperine-black-pepper-seed-extract,en:e460i,en:e460,en:modified-cellulose-capsule,en:e572,en:e551",e,21,"en:breakfasts,en:spreads,en:sweet-spreads,fr:cremes-de-pistaches",en:no-gluten,en:italy,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000425,1728893988,Whey protein de chocolate,,,30.0g,30,,,,,,,unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000429,1670781896,"Turmeric, creamed, local honey",2 oz,56.69904625,,,,"Breakfasts, Spreads, Sweet spreads, Bee products, Farming products, Sweeteners, Honeys",,,,,e,19,"en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys",,en:united-states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000430,1671213027,Dak bokkeumtang,,,400.0g,400,Powermeals,,"No gluten, No lactose",,,,unknown,,,"en:no-gluten,en:no-lactose",en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000432,1636035412,,500g,500,,,multifruta,"Bebidas, en:Media",en:LR12034B00,LR12034B00,gelatinadecerdoazucartrupasdeperroyresiduosdealcantarillas,en:gelatinadecerdoazucartrupasdeperroyresiduosdealcantarillas,unknown,,"en:beverages,en:media",en:lr12034b00,en:spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000433,1729342088,,,,,,,,,,,,unknown,,,,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000434,1717769288,No,,,4.0g,4,Gourmet and healthy,,,,,,unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000436,1572776836,Caramel vanille,,,,,,,,,,,unknown,,,,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000437,1728402296,Hydration Multiplier Electrolyte Drink Mix,,,16oz,453.59237,Liquid I.V.,,,,"allulose, l-glutamine, l-alanine, citric acid, potassium citrate, salt, sodium citrate, natural flavors, silicon dioxide, stevia leaf extract, vitamin c, vitamin b3, vitamin b5, vitamin b6, vitamin b12","en:allulose,en:l-glutamine,en:l-alanine,en:e330,en:e332ii,en:e332,en:salt,en:sodium-citrate,en:minerals,en:sodium,en:natural-flavouring,en:flavouring,en:e551,en:e960,en:vitamin-c,en:e375,en:vitamins,en:pantothenic-acid,en:vitamin-b6,en:vitamin-b12",unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000438,1715697829,Malabon best bagong monamon,340 g,340,,,Malabon best,,,,,,unknown,,,,en:united-arab-emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000439,1715700894,Datu putti spicy adobo,180ml,180,,,Datu puti,,,,,,unknown,,,,en:united-arab-emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000441,1742469158,"75CL MANDRAGORE BIERE BLC 4,8%",,,,,,,,,,,unknown,,,,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000442,1722032042,McCroustillant bang bang - Mc Donalds,,,219.0g,219,,,,,,,unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000444,1579455642,Madalena de Almendra,,,,,,,,,,,unknown,,,,en:spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000445,1580656442,Thé blanc de la Reunion,4 g,4,,,,"Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Thés blancs",,,,,unknown,,"en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas,en:white-teas",,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000446,1741713612,Tropical Splash,,,0g,0,Kiala,Super greens,,,,,unknown,,en:super-greens,,en:united-states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000448,1717419704,Sea bass,,,100.0g,100,Asda,,,,,,unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000449,1675340937,Salade d'algues wakame,,,,,,,,,,,unknown,,,,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000450,1728900223,,,,,,,,,,"Nährwerte je 100 g je Portion % je 15g Portion Energie KJ/ 2252/ 336/ kcal) 539 80 4 Fett (g) 30,9 4,6 1","en:nahrwerte-je-100-g-je-portion-je-15g-portion-energie-kj,en:2252,en:336,en:kcal-539-80-4-fett,en:30-9-4-6-1,en:g",unknown,,,,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000451,1718833947,"Organic Giggles, Sour",,,,,YumEarth,,"Organic, No GMOs, Non GMO project",,,,unknown,,,"en:organic,en:no-gmos,en:non-gmo-project",en:world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000452,1722709750,,,,16.0g,16,,,,,"Weizenmehl, Zucker, pflanzliche Fette (Palm, Kokos), Kakaomasse, Kakaobutter, Butterreinfett, Vollmilchpulver, Süßmolkenpulver, Magermilchpulver, Weizenstärke, fettarmes Kakaopulver, Hühnereieiweiß, Invertzuckersirup, Dextrose, Mandeln, Emulgatoren: Lecithine (enthält Soja), Mono - und Diglyceride von Speisefettsäuren; Kokosraspeln, Glukosesirup, Laktose, Salz, Backtriebmittel: Natriumcarbonate, Diphosphate, Ammoniumcarbonate; natürliches Aroma (enthält Gluten, Milch), Volleipulver, Rapsöl, Milcheiweiß, Hühnereieiweißpulver, Hühnereieigelbpulver, Karamellzuckersirup, Gewürze, Gerstenmalzextrakt, Farbstoff: Beta-Carotin. Kann andere Schalenfrüchte, Erdnüsse, Lupine und Sesam enthalten. GB Biscuit assortment with 17% chocolate, 10% milk chocolate and 6% white chocolate Ingredients: Wheat flour, sugar, vegetable fats (palm, coconut), cocoa mass, cocoa butter, pure butterfat (milk), whole milk powder, sweet whey powder (milk), skimmed milk powder, wheat starch, low fat cocoa powder, egg white, invert sugar syrup, dextrose, almonds, emulsifiers: lecithins (contain soya), mono - and diglycerides of fatty acids; rasped coconut, glucose syrup, lactose (milk), salt, raising agents: sodium carbonates, diphosphates, ammonium carbonates; natural flavour (contains gluten, milk). whole egg powder, rapeseed oil, milk protein, dried egg white, egg yolk powder, caramel sugar syrup, spices, malt extract (barley), colour: beta carotene. May contain other nuts, peanuts, lupin and sesame. FR Assortiment de biscuits avec 17% de chocolat, 10% de chocolat au lait et 6% de chocolat blanc Ingrédients: Farine de froment, sucre, graisses végétales (palme, coco), masse de cacao, beurre de cacao, graisse butyrique, lait entier en poudre, lactosérum doux en poudre, lait écrémé en poudre, amidon de blé, cacao maigre en poudre, blanc d'œufs, sirop de sucre inverti, dextrose, amandes, émulsifiants: lecithines (contient soja), mono-et diglycérides d'acides gras; noix de coco râpées, sirop de glucose, lactose, sel, poudres à lever: carbonates de sodium, diphosphates, carbonates d'ammonium; arôme naturel (contient du gluten, du lait), ceuf entier en poudre, huile de colza, protéine de lait, blancs d'œufs séché, jaune d'œuf en poudre, sirop de sucre caramélisé, épices, extrait de malt d'orge, colorant: béta-carotene. Peut contenir d'autres fruits à coque, de l'arachide, du lupin et du sésame. Sonnenkel Zartes Gebäck, verw Vollmilchschok PT Sortido de biscoito com Ingredientes: farinha de trigo leite gordo em pó, soro de la açúcar invertido, dextrose, amên glicose, lactose, sal, levedantes inteiro em pó, óleo de colza, p extracto de malte (cevada) Pode conter outros frutos d DK Blandede biscuits med Ingredienser: hvedemel, sukker vallepulver, skummetmælks emulgatorer: lecithiner (indehold natriumcarbonater, diphosphate æggehvidepulver, æggeblo Kan indeholde andre skalfre Nährwertde Déclaration nutr Información nut Declaração Energie/energy/énergie/e","en:weizenmehl,en:zucker,en:pflanzliche-fette,en:kakaomasse,en:kakaobutter,en:butterreinfett,en:vollmilchpulver,en:sussmolkenpulver,en:magermilchpulver,en:weizenstarke,en:fettarmes-kakaopulver,en:huhnereieiweiss,en:invertzuckersirup,en:dextrose,en:added-sugar,en:monosaccharide,en:glucose,en:mandeln,en:emulgatoren,en:monound-diglyceride-von-speisefettsauren,en:kokosraspeln,en:glukosesirup,en:laktose,en:salz,en:backtriebmittel,en:e450,en:ammoniumcarbonate,en:naturliches-aroma,en:volleipulver,en:rapsol,en:milcheiweiss,en:huhnereieiweisspulver,en:huhnereieigelbpulver,en:karamellzuckersirup,en:gewurze,en:gerstenmalzextrakt,en:farbstoff,en:erdnusse,en:lupine-und-sesam-enthalten,en:gb-biscuit-assortment-with-17-chocolate,en:milk-chocolate,en:chocolate,en:white-chocolate-ingredients,en:sugar,en:disaccharide,en:vegetable-fat,en:oil-and-fat,en:vegetable-oil-and-fat,en:cocoa-paste,en:plant,en:cocoa,en:cocoa-butter,en:butterfat,en:dairy,en:fat,en:milkfat,en:whole-milk-powder,en:milk-powder,en:sweet-whey-powder,en:whey,en:sweet-whey,en:skimmed-milk-powder,en:wheat-starch,en:starch,en:fat-reduced-cocoa-powder,en:cocoa-powder,en:egg-white,en:egg,en:invert-sugar-syrup,en:invert-sugar,en:sugar-syrup,en:almond,en:nut,en:tree-nut,en:emulsifier,en:e471,en:rasped-coconut,en:glucose-syrup,en:lactose,en:salt,en:raising-agent,en:e503,en:natural-flavouring,en:flavouring,en:whole-powdered-egg,en:whole-egg,en:rapeseed-oil,en:milk-proteins,en:protein,en:animal-protein,en:egg-yolk-powder,en:egg-yolk,en:caramelised-sugar-syrup,en:caramel-syrup,en:spice,en:condiment,en:malt-extract,en:cereal,en:extract,en:malt,en:vegetable-extract,en:colour,en:fr-assortiment-de-biscuits-avec-17-de-chocolat,en:de-chocolat-au-lait-et-6-de-chocolat-blanc-ingredients,en:sucre,en:graisses-vegetales,en:masse-de-cacao,en:beurre-de-cacao,en:graisse-butyrique,en:lait-entier-en-poudre,en:lactoserum-doux-en-poudre,en:lait-ecreme-en-poudre,en:amidon-de-ble,en:cacao-maigre-en-poudre,en:blanc-d-oeufs,en:sirop-de-sucre-inverti,en:amandes,en:emulsifiants,en:monoet-diglycerides-d-acides-gras,en:noix-de-coco-rapees,en:sirop-de-glucose,en:sel,en:poudres-a-lever,en:carbonates-d-ammonium,en:arome-naturel,en:ceuf-entier-en-poudre,en:huile-de-colza,en:proteine-de-lait,en:blancs-d-oeufs-seche,en:jaune-d-oeuf-en-poudre,en:sirop-de-sucre-caramelise,en:epices,en:extrait-de-malt-d-orge,en:de-l-arachide,en:du-lupin-et-du-sesame,en:sonnenkel-zartes-geback,en:verw-vollmilchschok-pt-sortido-de-biscoito-com-ingredientes,en:soro-de-la-acucar-invertido,en:amen-glicose,en:sal-tree,en:levedantes-inteiro-em-po,en:oleo-de-colza,en:p-extracto-de-malte,en:pode-conter-outros-frutos-d-dk-blandede-biscuits-med-ingredienser,en:sukker-vallepulver,en:skummetmaelks-emulgatorer,en:diphosphate-aeggehvidepulver,en:aeggeblo-kan-indeholde-andre-skalfre-nahrwertde-declaration-nutr-informacion-nut-declaracao-energie,en:energy,en:energie,en:e,en:palm,en:palm-oil-and-fat,en:palm-oil,en:kokos,en:lecithine,en:natriumcarbonate,en:enthalt-gluten,en:milch,en:e160ai,en:e160a,en:kann-andere-schalenfruchte,en:wheat-flour,en:flour,en:wheat,en:cereal-flour,en:coconut,en:fruit,en:e322,en:e500,en:barley-malt-extract,en:malted-barley,en:farine-de-froment,en:palme,en:coco,en:lecithines,en:carbonates-de-sodium,en:contient-du-gluten,en:du-lait,en:peut-contenir-d-autres-fruits-a-coque,en:farinha-de-trigo-leite-gordo-em-po,en:cevada,en:hvedemel,en:lecithiner,en:indehold-natriumcarbonater,en:enthalt-soja,en:soya,en:contient-soja",unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000453,1736109959,Roulettes pivotantes,4,0,,,,,,,,,,,,,en:canada,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
